State,District Name,School Name
Texas,CAYUGA ISD,Cayuga High School 
Texas,CAYUGA ISD,Cayuga Middle
Texas,CAYUGA ISD,Cayuga Elementary
Texas,ELKHART ISD,Elkhart High School 
Texas,ELKHART ISD,Elkhart Disciplinary Alternative Education Program
Texas,ELKHART ISD,Elkhart Middle
Texas,ELKHART ISD,Elkhart Elementary
Texas,ELKHART ISD,Elkhart Int
Texas,FRANKSTON ISD,Frankston High School 
Texas,FRANKSTON ISD,Frankston Middle
Texas,FRANKSTON ISD,Frankston Elementary
Texas,NECHES ISD,Neches High School 
Texas,NECHES ISD,Neches Elementary
Texas,PALESTINE ISD,Palestine High School 
Texas,PALESTINE ISD,Palestine Career And Technical High School 
Texas,PALESTINE ISD,Palestine Junior High
Texas,PALESTINE ISD,Northside Primary
Texas,PALESTINE ISD,Washington Early Childhood Center
Texas,PALESTINE ISD,Southside Elementary
Texas,PALESTINE ISD,Story Int
Texas,WESTWOOD ISD,Westwood High School 
Texas,WESTWOOD ISD,Westwood Junior High
Texas,WESTWOOD ISD,Westwood Elementary
Texas,WESTWOOD ISD,Westwood Primary
Texas,SLOCUM ISD,Slocum High School 
Texas,SLOCUM ISD,Slocum Disciplinary Alternative Education Program Instructional
Texas,SLOCUM ISD,Slocum Pk - 8
Texas,ANDREWS ISD,Andrews High School 
Texas,ANDREWS ISD,Andrews Education Center
Texas,ANDREWS ISD,Andrews Middle
Texas,ANDREWS ISD,Devonian Elementary
Texas,ANDREWS ISD,Underwood Elementary
Texas,ANDREWS ISD,Clearfork Elementary
Texas,PINEYWOODS COMMUNITY ACADEMY,Pineywoods Community Academy High School 
Texas,PINEYWOODS COMMUNITY ACADEMY,Dr Terry Robbins Middle
Texas,PINEYWOODS COMMUNITY ACADEMY,Sarah Strinden Elementary
Texas,HUDSON ISD,Hudson High School 
Texas,HUDSON ISD,Stubblefield Lrn Ctr
Texas,HUDSON ISD,Hudson Middle
Texas,HUDSON ISD,W F Peavy Primary
Texas,HUDSON ISD,W H Bonner Elementary
Texas,LUFKIN ISD,Lufkin High School 
Texas,LUFKIN ISD,Alter Sch
Texas,LUFKIN ISD,Stubblefield Lrn Ctr
Texas,LUFKIN ISD,Lufkin Middle
Texas,LUFKIN ISD,Anderson Elementary
Texas,LUFKIN ISD,Brandon Elementary
Texas,LUFKIN ISD,Brookhollow Elementary
Texas,LUFKIN ISD,Coston Elementary
Texas,LUFKIN ISD,Dunbar Primary
Texas,LUFKIN ISD,Garrett Primary
Texas,LUFKIN ISD,Hackney Primary
Texas,LUFKIN ISD,Herty Primary
Texas,LUFKIN ISD,Kurth Primary
Texas,LUFKIN ISD,Slack Elementary
Texas,LUFKIN ISD,Trout Primary
Texas,LUFKIN ISD,Burley Primary
Texas,LUFKIN ISD,Special Services
Texas,LUFKIN ISD,Juvenile Detent Ctr
Texas,HUNTINGTON ISD,Huntington High School 
Texas,HUNTINGTON ISD,Pride Alter Sch
Texas,HUNTINGTON ISD,Huntington Middle
Texas,HUNTINGTON ISD,Huntington Elementary
Texas,HUNTINGTON ISD,Huntington Int
Texas,DIBOLL ISD,Diboll High School 
Texas,DIBOLL ISD,Stubblefield Lrn Ctr
Texas,DIBOLL ISD,Diboll Junior High
Texas,DIBOLL ISD,H G Temple Elementary
Texas,DIBOLL ISD,Diboll Primary
Texas,DIBOLL ISD,H G Temple Int
Texas,ZAVALLA ISD,Zavalla High School 
Texas,ZAVALLA ISD,Stubblefield Lrn Ctr
Texas,ZAVALLA ISD,Zavalla Elementary
Texas,CENTRAL ISD,Central High School 
Texas,CENTRAL ISD,Stubblefield Lrn Ctr
Texas,CENTRAL ISD,Central Junior High
Texas,CENTRAL ISD,Central Elementary
Texas,ARANSAS COUNTY ISD,Rockport-Fulton High School 
Texas,ARANSAS COUNTY ISD,Rockport-Fulton Middle
Texas,ARANSAS COUNTY ISD,Fulton 4-5 Learning Center
Texas,ARANSAS COUNTY ISD,Little Bay Primary
Texas,ARANSAS COUNTY ISD,Live Oak 1-3 Learning Center
Texas,ARCHER CITY ISD,Archer City High School 
Texas,ARCHER CITY ISD,Archer City Elementary
Texas,HOLLIDAY ISD,Holliday High School 
Texas,HOLLIDAY ISD,Holliday Middle
Texas,HOLLIDAY ISD,Holliday Elementary
Texas,WINDTHORST ISD,Windthorst High School 
Texas,WINDTHORST ISD,Windthorst Junior High
Texas,WINDTHORST ISD,Windthorst Elementary
Texas,CLAUDE ISD,Claude High School 
Texas,CLAUDE ISD,Claude Elementary
Texas,CHARLOTTE ISD,Charlotte High School 
Texas,CHARLOTTE ISD,Atascosa Co Alter
Texas,CHARLOTTE ISD,District Reassignment & Opportunity Center
Texas,CHARLOTTE ISD,Charlotte Middle
Texas,CHARLOTTE ISD,Charlotte Elementary
Texas,JOURDANTON ISD,Jourdanton High School 
Texas,JOURDANTON ISD,The Larry Brown School
Texas,JOURDANTON ISD,Atascosa County Juvenile Justice Center
Texas,JOURDANTON ISD,Jourdanton Disciplinary Alternative Education Program
Texas,JOURDANTON ISD,Jourdanton Junior High
Texas,JOURDANTON ISD,Jourdanton Elementary
Texas,LYTLE ISD,Lytle High School 
Texas,LYTLE ISD,Lytle Disciplinary Alternative Education Program
Texas,LYTLE ISD,Jjaep
Texas,LYTLE ISD,Lytle Junior High
Texas,LYTLE ISD,Lytle Elementary
Texas,LYTLE ISD,Lytle Primarymary School
Texas,PLEASANTON ISD,Pleasanton High School 
Texas,PLEASANTON ISD,Atascosa Co Alter
Texas,PLEASANTON ISD,Pleasanton Isd School Of Choice
Texas,PLEASANTON ISD,Pleasanton Junior High
Texas,PLEASANTON ISD,Pleasanton Elementary
Texas,PLEASANTON ISD,Pleasanton Primary
Texas,POTEET ISD,Poteet High School 
Texas,POTEET ISD,Atascosa Co Juvenile Unit
Texas,POTEET ISD,Poteet Junior High
Texas,POTEET ISD,Poteet Elementary
Texas,POTEET ISD,Poteet Int
Texas,BELLVILLE ISD,Bellville High School 
Texas,BELLVILLE ISD,Spicer Alter Ed Ctr
Texas,BELLVILLE ISD,Bellville Junior High
Texas,BELLVILLE ISD,O'Bryant Primary
Texas,BELLVILLE ISD,O'Bryant Int
Texas,BELLVILLE ISD,West End Elementary
Texas,SEALY ISD,Sealy High School 
Texas,SEALY ISD,Sealy Junior High
Texas,SEALY ISD,Selman Elementary
Texas,SEALY ISD,Selman Int
Texas,BRAZOS ISD,Brazos High School 
Texas,BRAZOS ISD,Brazos Middle
Texas,BRAZOS ISD,Brazos Elementary
Texas,BRAZOS ISD,Prairie Harbor Alternative School
Texas,MULESHOE ISD,Muleshoe High School 
Texas,MULESHOE ISD,P E P
Texas,MULESHOE ISD,Watson Junior High
Texas,MULESHOE ISD,Mary Deshazo Elementary
Texas,MULESHOE ISD,Dillman Elementary
Texas,MEDINA ISD,Medina School
Texas,BANDERA ISD,Bandera High School 
Texas,BANDERA ISD,Bandera Middle
Texas,BANDERA ISD,Alkek Elementary
Texas,BANDERA ISD,Hill Country Elementary
Texas,BASTROP ISD,Bastrop High School 
Texas,BASTROP ISD,Cedar Creek High School 
Texas,BASTROP ISD,Colorado River Collegiate Academy
Texas,BASTROP ISD,Genesis High School 
Texas,BASTROP ISD,Gateway Sch
Texas,BASTROP ISD,Bastrop Middle
Texas,BASTROP ISD,Emile Elementary
Texas,BASTROP ISD,Mina Elementary
Texas,BASTROP ISD,Cedar Creek Elementary
Texas,BASTROP ISD,Bastrop Int
Texas,BASTROP ISD,Cedar Creek Middle
Texas,BASTROP ISD,Red Rock Elementary
Texas,BASTROP ISD,Cedar Creek Int
Texas,BASTROP ISD,Bluebonnet Elementary
Texas,BASTROP ISD,Lost Pines Elementary
Texas,ELGIN ISD,Elgin High School 
Texas,ELGIN ISD,Bastrop County Juvenile Boot Camp
Texas,ELGIN ISD,Phoenix High School 
Texas,ELGIN ISD,Elgin Middle
Texas,ELGIN ISD,Booker T Washington Elementary
Texas,ELGIN ISD,Elgin Elementary
Texas,ELGIN ISD,Neidig Elementary
Texas,SMITHVILLE ISD,Smithville High School 
Texas,SMITHVILLE ISD,Bastrop County Juvenile Boot Camp
Texas,SMITHVILLE ISD,Smithville Junior High
Texas,SMITHVILLE ISD,Smithville Elementary
Texas,SMITHVILLE ISD,Brown Primary
Texas,MCDADE ISD,Mcdade High School 
Texas,MCDADE ISD,Mcdade Elementary
Texas,SEYMOUR ISD,Seymour High School 
Texas,SEYMOUR ISD,Seymour Middle
